----------------------------------------
Report generated on: 2024-07-12 20:30:22
Title,Push-ups
Label,Value
Sun,25.0
Mon,15.0
Tue,25.0
Wed,5.0
Thu,10.0
Fri,0.0
Sat,20.0
----------------------------------------
----------------------------------------
Report generated on: 2024-07-12 20:36:10
Title,Student's Attendance
Label,Value
No. of Students,30.0
No. of Absence,10.0
No. of attendance,20.0
----------------------------------------
----------------------------------------
Report generated on: 2024-07-12 21:42:37
Title,Favorite Tyoe of Movie
Label,Value
Comedy,4.0
Action,7.0
Romance,6.0
Drama,1.0
SciFi,4.0
----------------------------------------
